company_name,symbol,scripcode
ABB India Ltd.,ABB,500002.0
Aegis Logistics Ltd.,AEGISCHEM,500003.0
Amara Raja Energy & Mobility Ltd.,ARE&M,500008.0
Ambalal Sarabhai Enterprises Ltd.,AMBASARABH,500009.0
Andhra Petrochemicals Ltd.,ANDHRAPET,500012.0
Ansal Properties & Infrastructure Ltd.,ANSALAPI,500013.0
Utique Enterprises Ltd.,APPLEIND,500014.0
Aruna Hotels Ltd.,ARUNASUGAR,500016.0
Bombay Dyeing And Manufacturing Company Ltd.,BOMDYEING,500020.0
Asian Hotels (North) Ltd.,ASIANHOTNR,500023.0
Atul Ltd.,ATUL,500027.0
ATV Projects India Ltd.,ATVPROJ,500028.0
Bajaj Electricals Ltd.,BAJAJELEC,500031.0
Bajaj Hindusthan Sugar Ltd.,BAJAJHIND,500032.0
Force Motors Ltd.,FORCEMOT,500033.0
Bajaj Finance Ltd.,BAJFINANCE,500034.0
Balrampur Chini Mills Ltd.,BALRAMCHIN,500038.0
Banco Products (India) Ltd.,BANCOINDIA,500039.0
Century Textiles & Industries Ltd.,CENTURYTEX,500040.0
Bannari Amman Sugars Ltd.,BANARISUG,500041.0
BASF India Ltd.,BASF,500042.0
Bata India Ltd.,BATAINDIA,500043.0
BEML Ltd.,BEML,500048.0
Bharat Electronics Ltd.,BEL,500049.0
Bhansali Engineering Polymers Ltd.,BEPL,500052.0
Bihar Sponge Iron Ltd.,BIHARSPONG,500058.0
Binani Industries Ltd.,BINANIIND,500059.0
Birla Cable Ltd.,BIRLACABLE,500060.0
Blue Star Ltd.,BLUESTARCO,500067.0
Disa India Ltd.,GEORGFISCH,500068.0
Quest Capital Markets Ltd.,,500069.0
BPL Ltd.,BPL,500074.0
Oriental Aromatics Ltd.,OAL,500078.0
Century Extrusions Ltd.,CENTEXT,500083.0
CESC Ltd.,CESC,500084.0
Chambal Fertilisers and Chemicals Ltd.,CHAMBLFERT,500085.0
Exide Industries Ltd.,EXIDEIND,500086.0
Cipla Ltd.,CIPLA,500087.0
DIC India Ltd.,DICIND,500089.0
CRISIL Ltd.,CRISIL,500092.0
CG Power and Industrial Solutions Ltd.,CGPOWER,500093.0
Dabur India Ltd.,DABUR,500096.0
Dalmia Bharat Sugar And Industries Ltd.,DALMIASUG,500097.0
Arvind Ltd.,ARVIND,500101.0
Bharat Heavy Electricals Ltd.,BHEL,500103.0
Hindustan Petroleum Corporation Ltd.,HINDPETRO,500104.0
IFCI Ltd.,IFCI,500106.0
Mahanagar Telephone Nigam Ltd.,MTNL,500108.0
Mangalore Refinery And Petrochemicals Ltd.,MRPL,500109.0
Chennai Petroleum Corporation Ltd.,CHENNPETRO,500110.0
Reliance Capital Ltd.,RELCAPITAL,500111.0
State Bank Of India,SBIN,500112.0
